slack,cap_sigma,stake,rule,weights,seed,outcome,rounds,n_deviators,truthful_app,final_app,truthful_op,final_op,truthful_sys,final_sys,apps_worse,ops_worse
0.5,0.8,pareto,min,sys,0,fixed_point,1,0,5.5767476945630765,5.5767476945630765,3.026668505503979,3.026668505503979,245.54318430214823,245.54318430214823,0,0
0.5,0.8,pareto,min,sys,1,max_rounds,6,6,14.41784528206692,10.631522943708413,9.546859656176633,4.902424611910044,479.39321974558607,387.7012707076195,2,2
0.5,0.8,pareto,min,sys,2,fixed_point,2,1,9.48051038596547,9.48051038596547,21.30239157448874,21.10746124635731,676.7732628572984,676.7732628572984,0,1
