slack,cap_sigma,stake,rule,weights,seed,outcome,rounds,n_deviators,truthful_app,final_app,truthful_op,final_op,truthful_sys,final_sys,apps_worse,ops_worse
4.0,0.8,pareto,min,sys,3,fixed_point,1,0,38.65301424674326,38.65301424674326,27.288286578863534,27.288286578863534,992.784217242412,992.784217242412,0,0
4.0,0.8,pareto,min,sys,4,fixed_point,2,1,40.431038296684214,36.21461020206203,18.86629112484165,14.933243022440035,804.2328982562112,796.7975385842515,1,1
4.0,0.8,pareto,min,sys,5,fixed_point,2,1,15.15028194291896,15.15028194291896,3.7517026538919565,3.609366762139081,245.41324669124208,245.41324669124208,0,1
