slack,cap_sigma,stake,rule,weights,seed,outcome,rounds,n_deviators,truthful_app,final_app,truthful_op,final_op,truthful_sys,final_sys,apps_worse,ops_worse
4.0,0.0,pareto,min,sys,0,fixed_point,2,1,11.270877924196258,11.270877924196258,4.029780782988301,5.558387339798884,225.41755848392515,225.41755848392515,0,1
4.0,0.0,pareto,min,sys,1,fixed_point,1,0,26.865614605810904,26.865614605810904,10.896974133699954,10.896974133699954,537.3122921162181,537.3122921162181,0,0
4.0,0.0,pareto,min,sys,2,fixed_point,1,0,12.802759825364852,12.802759825364852,7.87322514114005,7.87322514114005,256.05519650729707,256.05519650729707,0,0
