slack,cap_sigma,stake,rule,weights,seed,outcome,rounds,n_deviators,truthful_app,final_app,truthful_op,final_op,truthful_sys,final_sys,apps_worse,ops_worse
0.5,0.0,pareto,min,uniform,3,fixed_point,1,0,9.838696740680277,9.838696740680277,5.623676071069703,5.623676071069703,196.77393481360554,196.77393481360554,0,0
0.5,0.0,pareto,min,uniform,4,fixed_point,2,3,12.334556916157577,9.537162432110502,5.448414614519624,5.356460021813625,246.69113832315156,243.0772750379083,1,1
0.5,0.0,pareto,min,uniform,5,fixed_point,4,3,15.15028194291896,13.887290497352932,5.4153245629247175,4.936622873822585,303.0056388583792,284.4235829935065,1,1
