slack,cap_sigma,stake,rule,weights,seed,outcome,rounds,n_deviators,truthful_app,final_app,truthful_op,final_op,truthful_sys,final_sys,apps_worse,ops_worse
4.0,0.0,pareto,min,uniform,0,fixed_point,4,3,11.270877924196258,11.270877924196258,5.558387339798884,7.416538782631536,225.41755848392515,309.40325991934344,0,0
4.0,0.0,pareto,min,uniform,1,max_rounds,6,3,26.865614605810904,26.865614605810904,13.159440697988893,12.099602359756947,537.312292116218,537.3122921162181,0,1
4.0,0.0,pareto,min,uniform,2,cycle,4,2,12.802759825364852,12.802759825364852,8.086017034643358,7.996694081931876,256.05519650729707,256.05519650729707,0,2
