slack,cap_sigma,stake,rule,weights,seed,outcome,rounds,n_deviators,truthful_app,final_app,truthful_op,final_op,truthful_sys,final_sys,apps_worse,ops_worse
4.0,0.8,pareto,min,sys,0,fixed_point,3,3,8.499228377763327,5.5767476945630765,11.796105060509678,12.106674022015916,584.6623406264256,982.1727372085929,1,2
4.0,0.8,pareto,min,sys,1,fixed_point,5,2,26.865614605810904,19.877975716811918,17.433073238812124,11.366451146805812,862.409525771239,771.7524798111341,1,1
4.0,0.8,pareto,min,sys,2,fixed_point,2,4,9.48051038596547,9.48051038596547,21.257706406118782,20.546656548428274,676.7732628572984,676.7732628572984,0,1
