seed,n_apps,n_ops,exact,slack,cap_sigma,ask_sigma,stake_alpha,supply_demand,cap_cv,ask_cv,stake_cv,capacity_cv,price_compat,stake_cover,napp_0.0_0.0_1.0,nop_0.0_0.0_1.0,nsys_0.0_0.0_1.0,napp_0.0_0.2_0.8,nop_0.0_0.2_0.8,nsys_0.0_0.2_0.8,napp_0.0_0.4_0.6,nop_0.0_0.4_0.6,nsys_0.0_0.4_0.6,napp_0.0_0.6_0.4,nop_0.0_0.6_0.4,nsys_0.0_0.6_0.4,napp_0.0_0.8_0.2,nop_0.0_0.8_0.2,nsys_0.0_0.8_0.2,napp_0.0_1.0_0.0,nop_0.0_1.0_0.0,nsys_0.0_1.0_0.0,napp_0.2_0.0_0.8,nop_0.2_0.0_0.8,nsys_0.2_0.0_0.8,napp_0.2_0.2_0.6,nop_0.2_0.2_0.6,nsys_0.2_0.2_0.6,napp_0.2_0.4_0.4,nop_0.2_0.4_0.4,nsys_0.2_0.4_0.4,napp_0.2_0.6_0.2,nop_0.2_0.6_0.2,nsys_0.2_0.6_0.2,napp_0.2_0.8_0.0,nop_0.2_0.8_0.0,nsys_0.2_0.8_0.0,napp_0.4_0.0_0.6,nop_0.4_0.0_0.6,nsys_0.4_0.0_0.6,napp_0.4_0.2_0.4,nop_0.4_0.2_0.4,nsys_0.4_0.2_0.4,napp_0.4_0.4_0.2,nop_0.4_0.4_0.2,nsys_0.4_0.4_0.2,napp_0.4_0.6_0.0,nop_0.4_0.6_0.0,nsys_0.4_0.6_0.0,napp_0.6_0.0_0.4,nop_0.6_0.0_0.4,nsys_0.6_0.0_0.4,napp_0.6_0.2_0.2,nop_0.6_0.2_0.2,nsys_0.6_0.2_0.2,napp_0.6_0.4_0.0,nop_0.6_0.4_0.0,nsys_0.6_0.4_0.0,napp_0.8_0.0_0.2,nop_0.8_0.0_0.2,nsys_0.8_0.0_0.2,napp_0.8_0.2_0.0,nop_0.8_0.2_0.0,nsys_0.8_0.2_0.0,napp_1.0_0.0_0.0,nop_1.0_0.0_0.0,nsys_1.0_0.0_0.0,manip_app_gas_frac,manip_app_gas_rel,manip_op_gasprice_frac,manip_op_gasprice_rel,manip_op_stake_frac,manip_op_stake_rel,manip_op_gas_frac,manip_op_gas_rel
10000,20,10,False,1.4984303349971373,0.42369915251643075,0.34456540633883803,2.6849006726881255,1.3367888701622104,0.5152658322469793,0.2520237414182852,0.31925509430414445,0.5260395457650993,0.865,1.0,0.6124798099376242,0.8227220614754073,0.8259240741076658,0.5775990539306611,0.7485063303583608,0.7454337795564959,0.5775990539306611,0.7485063303583608,0.7454337795564959,0.5775990539306611,0.7485063303583608,0.7454337795564959,0.5303727812597331,0.7761572778836056,0.7821844726126393,0.5303727812597331,0.7761572778836056,0.7821844726126393,0.5297895449308687,0.9939164935641583,0.9216710539953532,0.7115878633496638,1.2012666740263414,1.1061429080159246,0.7115878633496638,1.2012666740263414,1.1061429080159246,0.49034856023104384,0.902914056207617,0.9031207441134813,0.4084841915163353,0.794895587663771,0.7649368008794966,0.5519958164549413,0.9780115300094266,0.936883565406348,0.724043294105131,0.9803461047194217,0.8776378413278771,0.724043294105131,0.9803461047194217,0.8776378413278771,0.724043294105131,0.9803461047194217,0.8776378413278771,0.7295171731907479,0.8020745811146432,0.7931898193659597,0.7295171731907479,0.805780508512769,0.7917355098562283,0.6980937009945127,0.8931614656277767,0.8765507140601879,0.7378295836014456,0.8334467000853811,0.8123457808266056,0.6781561741054425,0.7666237754458948,0.7508952920203735,0.7279366256343848,0.485866592082514,0.4924213782650897,0.8,0.3078273761556033,0.4,0.46073374402148903,0.2,0.10479939499113293,0.2,0.1435277283406755
10001,20,10,False,2.9773567884791547,0.6294702331215974,0.2030909108462595,4.657940240356439,5.9887744200408966,0.5851678961419816,0.15233022369822952,0.10595487310492925,0.5056782877801229,0.715,1.0,0.65,0.9937087440732023,0.9588844345625851,0.75,0.9428723785329461,0.9243530654110885,0.75,0.9428723785329461,0.9243530654110885,0.75,0.9428723785329461,0.9243530654110885,0.75,0.9428723785329461,0.9243530654110885,0.75,0.9428723785329461,0.9243530654110885,0.65,0.9937087440732023,0.9588844345625851,0.75,1.0074509640365996,0.9442194185993722,0.75,1.0074509640365996,0.9442194185993722,0.65,0.968011762970453,0.9680440728982481,0.8,0.9383913839469904,0.9065387606497958,0.65,0.9937087440732023,0.9588844345625851,0.75,0.9428723785329461,0.9243530654110885,0.75,0.9428723785329461,0.9243530654110885,0.75,0.9428723785329461,0.9243530654110885,0.8,0.8859824424110176,0.8457604144742243,0.75,0.9428723785329461,0.9243530654110885,0.7403462873945259,1.0498503908121641,0.9736073337772081,0.8,0.8412759968832979,0.8189912114416132,0.8,0.8341547848653745,0.8326608890923061,0.8,0.5622274292290185,0.5448671343668852,0,0.0,0.4,0.4395011897845572,0.2,0.0,0.4,0.0008851360943537429
10002,20,10,False,2.259384012934957,0.25001496845587956,0.32965214495956996,1.2368940858139092,2.825349087416298,0.3178411173031413,0.4624557952797139,0.8333289498936387,0.560722230453742,0.785,1.0,0.6550372186607887,0.48843563532653,0.8368253146487054,0.6968814557374757,0.8467009142726039,0.8252625188766219,0.7527907365451767,0.6808129357948259,0.9727894312799686,0.7066864218532801,0.7790417687646431,0.6576150206099807,0.7066864218532801,0.7790417687646431,0.6576150206099807,0.7066864218532801,0.7790417687646431,0.6576150206099807,0.8,0.6895093822800261,0.9279269598652393,0.6734235378416633,0.8733990955164848,0.7857479606408788,0.6734235378416633,0.8733990955164848,0.7857479606408788,0.6734235378416633,0.8733990955164848,0.7857479606408788,0.6734235378416633,0.8733990955164848,0.7857479606408788,0.6408657932104559,0.5447265985557681,0.9572582675912434,0.8259986887576867,0.7654200002903093,0.8493412145400575,0.8389901610887304,0.8171827889152764,0.8402575570201632,0.7468814557374757,0.9519353387402889,0.8486314437986837,0.8579766873668486,0.5121291890751024,0.7613864958318437,0.8916871032870303,0.6447484750144499,0.7287595455855399,0.8181098072830332,0.7467518422314613,0.8836447480671354,0.8579766873668486,0.5121291890751024,0.7613864958318437,0.8579766873668486,0.6273472306261618,0.7502566085213112,0.9,0.40011114256012353,0.6459153795521199,0.4,0.5210803081340668,0.6,0.7430513241900272,0.6,0.7068577379644021,0.4,0.42056554680887837
10003,20,10,False,2.714731147439389,0.7381242745136783,0.5988375672694449,3.0035680170325696,2.1222708882907697,0.7577356265803309,0.5627713633254576,0.14287780457899293,0.5391489935993814,0.685,1.0,0.4172592380066601,0.9215311951893319,0.8646418946147969,0.5105519527008949,1.0839922014035477,0.9897246004327114,0.5105519527008949,1.0839922014035477,0.9897246004327114,0.5105519527008949,1.0839922014035477,0.9897246004327114,0.5105519527008949,1.0839922014035477,0.9897246004327114,0.5105519527008949,1.0839922014035477,0.9897246004327114,0.4609506654140132,0.8045319690513252,0.7541522216235799,0.6267729083814276,0.7656478498411468,0.737466154829143,0.5616969337121156,0.8300518190761862,0.7229888002855231,0.5616969337121156,0.8300518190761862,0.7229888002855231,0.5616969337121156,0.8300518190761862,0.7229888002855231,0.5741095413497236,0.7835559977783241,0.7179035553979849,0.6267729083814276,0.7656478498411468,0.737466154829143,0.6206764841069021,0.8015339186931734,0.6956216838407188,0.6206764841069021,0.8015339186931734,0.6956216838407188,0.5243474927293365,1.0423246609631358,0.9136711011083308,0.65,0.7790506492757652,0.6823408588740384,0.48219163109085245,0.9599449645230348,0.8483031822569941,0.6,0.7137980235794481,0.6597998116221824,0.6531138947444268,0.5196402754920479,0.47586235336899296,0.6531138947444268,0.4351727037658832,0.39146556267143406,0,0.0,1,2.6650272988634582,0.6,1.4538140261004817,0.6,0.9324919125569306
10004,20,10,False,4.585290834509796,0.3020165535170063,0.2757448369824369,4.650161155578553,5.596621193057578,0.5251785165842356,0.219976517681898,0.2925642015561081,0.6856388562569768,0.94,1.0,0.75,0.7233279995702929,0.9840717904126915,0.8,0.8386562145899045,0.9067264911870643,0.6979698986022831,0.8521242974280591,0.8985543721216125,0.75,0.9340255349508131,0.9941473951578346,0.8,0.8836452067266598,0.9239225808751039,0.85,0.8844871341062753,0.9256345989499974,0.65,0.7700245680067723,0.9285252427098686,0.75,0.8400770836427438,1.0004298839462693,0.75,0.8400770836427438,1.0004298839462693,0.85,1.0021076607262456,1.0552704633560348,0.8955884358663573,0.8370311954030059,0.8901758197829484,0.785783253642926,0.7946617154062784,0.8991397584335924,1.0,0.8082239892796843,0.8650581438337679,1.0,0.8082239892796843,0.8650581438337679,1.0,0.8082239892796843,0.8650581438337679,0.9,0.8674126992736786,0.9498623454165827,1.0,0.7769117705592958,0.8332087275668946,1.0,0.810008860966298,0.8622407199060159,0.95,0.7830448460865675,0.8484457556845875,1.0,0.7993458089715643,0.8527140709416081,1.0,0.39266385862735687,0.41714236678137045,0.2,3.349340238677073e-17,0.8,3.550583656433828,0.6,0.36294656451239327,0.2,0.599085950528133
10005,20,10,False,0.5199315476333268,0.3283382659859888,0.5855503539063089,18.58783987602238,0.6216995157511696,0.2519153824072711,0.8027590780265611,0.05918341146077941,0.7520032758596708,0.68,1.0,0.37883888788671866,1.2846660734661448,0.9088321860030163,0.3176821718869049,1.2362222093776338,0.8732155231740367,0.3176821718869049,1.2362222093776338,0.8732155231740367,0.3176821718869049,1.2362222093776338,0.8732155231740367,0.3176821718869049,1.2362222093776338,0.8732155231740367,0.3176821718869049,1.2362222093776338,0.8732155231740367,0.3331829341722064,1.1327144554761646,0.8033532794610498,0.32809779308639375,1.2016320036359474,0.8425989788592393,0.3601217115014371,0.9772685063824121,0.6926946785950296,0.40732756735851233,1.1839771475011995,0.8397844632763836,0.40732756735851233,1.1839771475011995,0.8397844632763836,0.3331829341722064,1.1327144554761646,0.8033532794610498,0.40732756735851233,1.1839771475011995,0.8397844632763836,0.40732756735851233,1.1839771475011995,0.8397844632763836,0.40732756735851233,1.1839771475011995,0.8397844632763836,0.560019973860538,0.9494050534102684,0.6810530756820807,0.4806520828662013,0.9415633583895399,0.6719269812719316,0.6020523146480509,1.2156968160705763,0.8581927258729142,0.4642085498659297,1.1474277786326796,0.8094933481491323,0.4891331800088247,1.4387069416978833,1.0152451469054617,0.5416175404028724,0.6223772960867254,0.44365992008275557,0.8,0.31366592915482355,0.6,1.3869132864054792,0.4,0.8663480413068645,0.2,1.1517620733285068
10006,20,10,False,0.4055359293592724,0.7162921591222379,0.2476865112823955,18.95269349631566,0.5404949098388296,0.6117113975049724,0.17978402256357967,0.018734518624185646,0.8923498685490989,0.74,1.0,0.1687641038688617,0.5994649508046245,0.5494396399684569,0.19756857169960074,0.5920619880202671,0.5337087020372052,0.19756857169960074,0.5920619880202671,0.5337087020372052,0.19756857169960074,0.5920619880202671,0.5337087020372052,0.19756857169960074,0.5920619880202671,0.5337087020372052,0.19756857169960074,0.5920619880202671,0.5337087020372052,0.27143003560271844,0.7437008134620919,0.677329330135815,0.23609521504579695,0.7683640334528592,0.6981735105241806,0.23609521504579695,0.7683640334528592,0.6981735105241806,0.24282601202596027,0.7358398428535453,0.6599223456266798,0.24282601202596027,0.7358398428535453,0.6599223456266798,0.27275483617462054,0.5388569240962271,0.4949342379824512,0.26616345379572653,0.7421947634457211,0.6772800274848176,0.26616345379572653,0.7421947634457211,0.6772800274848176,0.2677528892169,0.6049744214506069,0.54845054246977,0.33587562158856166,0.5650649164671812,0.5145575809816934,0.2852527975878474,0.5024619846511523,0.4508400310961525,0.27275483617462054,0.5388569240962271,0.4949342379824512,0.3757740304228992,0.5424375948806912,0.49694762500549566,0.35552577562792864,0.3751142918540922,0.3409517129946304,0.35802158650471766,0.3224698003080512,0.2939402373708317,0.6,0.24066161408217152,0.4,4.711790537682476,0.2,0.0,0,0.0
10007,20,10,False,4.336447982091132,0.05199757745022793,0.2318012871147768,23.266596437287383,7.459589613942215,0.24478512540552555,0.19800339933736782,0.03561475799157224,0.7365006439768664,0.935,1.0,0.8,0.9859018449143322,0.9269277564288505,0.8990407564754604,1.0225442825799345,0.9774116939246607,0.8990407564754604,1.0284479274648508,0.9774116939246607,0.8990407564754604,1.0284479274648508,0.9774116939246607,0.8990407564754604,1.0284479274648508,0.9774116939246607,0.8990407564754604,1.0284479274648508,0.9774116939246607,0.8568200157644096,0.9644439847550327,0.9290021587171176,0.95,1.0198516343495259,0.9774374621665927,0.95,1.0198516343495259,0.9774374621665927,0.95,1.0198516343495259,0.9774374621665927,0.9332582172410971,0.9993815834041014,0.9498410832658313,0.8568200157644096,0.9644439847550327,0.9290021587171176,1.0,0.7996846836429802,0.7579667331762239,1.0,0.7996846836429802,0.7579667331762239,1.0,0.7996846836429802,0.7579667331762239,0.9708216774539963,0.8442251566569097,0.8012713045463683,1.0,0.9805905820079912,0.9403703342616021,1.0,0.9805905820079912,0.9403703342616021,0.9181668620293596,0.8586631710914074,0.8064394083520741,1.0,0.9805905820079912,0.9403703342616021,0.9708216774539963,0.5399741070406482,0.5076230548563634,0,0.0,1,3.0164848574334338,0.6,1.1082206662175753,0.8,2.6685708862951163
10008,20,10,False,1.842884164083612,0.45184745293804895,0.38136459949266477,29.66892045955428,2.19357439276021,0.5706814229798469,0.300165467069567,0.026973273470687835,0.6903853912320429,0.86,1.0,0.6432294660854861,1.0570498938079154,1.0939912414049289,0.6854217172074296,0.9924871855361889,1.0378698901538717,0.6854217172074296,0.9924871855361889,1.0378698901538717,0.6854217172074296,0.9924871855361889,1.0378698901538717,0.6854217172074296,0.9924871855361889,1.0378698901538717,0.6854217172074296,0.9924871855361889,1.0378698901538717,0.8290989485333681,1.0355597419919822,1.0714938504442328,0.8716423720977513,1.0135393197803446,1.0417819686693228,0.8716423720977513,1.0135393197803446,1.0417819686693228,0.8716423720977513,1.0135393197803446,1.0417819686693228,0.8716423720977513,1.0135393197803446,1.0417819686693228,0.8464539821948623,0.9779132728501037,1.0042773560014007,0.6933429790707619,0.9998827291892933,1.0203104440990023,0.8340521294916248,0.8904695347344893,0.910662799820251,0.8340521294916248,0.8904695347344893,0.910662799820251,0.9251377436944777,0.8643099943511678,0.8904889074504954,0.9065154443841879,0.9075075837013213,0.9201011895504491,0.9065154443841879,0.9075075837013213,0.9201011895504491,0.9481099336371319,0.9203986206517784,0.9600305529992211,0.9425429951768799,0.7469699390551384,0.7700279752593494,0.9216423720977514,0.47150220695837075,0.4866105457285333,0,3.6416397970136815e-17,0.8,5.842600015072477,0.2,0.526512412490152,0.8,1.2480205871866967
10009,20,10,False,1.5280572959236076,0.5611843726008378,0.36224150649424847,6.132216878850478,1.502904226895529,0.40044121862701193,0.39702026607933294,0.2066711513925868,0.723489437162304,0.91,1.0,0.7685419065204093,0.7318706625997374,0.7379722646670327,0.7614095422757761,1.0010182872998368,0.9506168212157884,0.811366312174754,1.04029548981258,0.9980285690917842,0.7062965238862635,1.001466316607434,0.9364161045439024,0.6417072377861613,1.021592325145067,0.929959477729851,0.7329080137875916,1.0097878665684976,0.9434108395041576,0.9166199081150549,0.6290879705797531,0.6045333511606524,0.7832575875955529,0.778119964369267,0.7440151645153937,0.7144096091164938,0.7203578064664041,0.6957533572878912,0.7144096091164938,0.7203578064664041,0.6957533572878912,0.7144096091164938,0.7203578064664041,0.6957533572878912,0.7402878656480244,0.9707300029136424,0.8684268920830315,0.8392206578608182,0.8818679354183014,0.8004724556615097,0.901371540398219,0.7032767104080726,0.6846807157446518,0.7844896030181328,0.9319480314491753,0.8355211983969094,0.7763590650318521,0.7988701913056,0.7688326232485815,0.8390404799109041,0.5895494041946557,0.5273091422037334,0.797439671636766,0.9373217663710005,0.8800273372584279,0.825889811576776,0.4919836269137622,0.44616352778215085,0.8014525682879072,0.4460699177704799,0.4405732759462981,0.8192255349645491,0.2943961111340942,0.2715041975012884,0.4,0.0011912494009001177,0.6,0.3953935817860719,0.2,0.2380086486471644,0,0.0
