cap_scale,price_sigma,seed,w_app,w_op,w_sys,napp,nop,nsys,n_chains
0.5,0.1,0,0.0,0.0,1.0,0.6466462837837553,0.950624227505399,1.0,9
0.5,0.1,0,0.0,0.2,0.8,0.4604379610233419,1.0,0.9252317749116565,8
0.5,0.1,0,0.0,0.4,0.6,0.4604379610233419,1.0,0.9252317749116565,8
0.5,0.1,0,0.0,0.6,0.4,0.4604379610233419,1.0,0.9252317749116565,8
0.5,0.1,0,0.0,0.8,0.2,0.4604379610233419,1.0,0.9252317749116565,8
0.5,0.1,0,0.0,1.0,0.0,0.4604379610233419,1.0,0.9252317749116565,8
0.5,0.1,0,0.2,0.0,0.8,0.6346638894950901,1.0143356797278305,0.9851539012844044,9
0.5,0.1,0,0.2,0.2,0.6,0.5014654517722088,1.0018393201424844,1.0723193732383152,9
0.5,0.1,0,0.2,0.4,0.4,0.4604379610233419,1.0,0.9252317749116565,8
0.5,0.1,0,0.2,0.6,0.2,0.4604379610233419,1.0,0.9252317749116565,8
0.5,0.1,0,0.2,0.8,0.0,0.6737848951199584,1.1249563052866973,1.0406591134940186,9
0.5,0.1,0,0.4,0.0,0.6,0.7077107024072208,0.9512928862425982,0.9515466734380496,9
0.5,0.1,0,0.4,0.2,0.4,0.585389749070917,1.1116455828902263,1.152157803851997,8
0.5,0.1,0,0.4,0.4,0.2,0.585389749070917,1.1116455828902263,1.152157803851997,8
0.5,0.1,0,0.4,0.6,0.0,0.5592266181814374,1.0317233615240915,1.1184985650290244,9
0.5,0.1,0,0.6,0.0,0.4,0.591359048482701,0.7524093580223878,0.8471825363738036,9
0.5,0.1,0,0.6,0.2,0.2,0.6401860678049001,0.8964844925658445,0.9670016308967855,10
0.5,0.1,0,0.6,0.4,0.0,0.6543446378662283,0.868014850017139,0.8474027264775273,9
0.5,0.1,0,0.8,0.0,0.2,0.7067274922351416,0.8305238337053906,0.7970552465950231,10
0.5,0.1,0,0.8,0.2,0.0,0.6631250238911301,0.6136613094031672,0.6104244965997312,8
0.5,0.1,0,1.0,0.0,0.0,0.7248399236536832,0.5835582662941197,0.5835524805150082,10
0.5,0.1,1,0.0,0.0,1.0,0.3043839647959936,0.8656747035367435,1.0512812610303683,10
0.5,0.1,1,0.0,0.2,0.8,0.2643021152923391,0.5335837860533837,0.8641211280437622,8
0.5,0.1,1,0.0,0.4,0.6,0.2643021152923391,0.5335837860533837,0.8641211280437622,8
0.5,0.1,1,0.0,0.6,0.4,0.299281250622047,0.6201132921428055,0.7933200123631775,7
0.5,0.1,1,0.0,0.8,0.2,0.299281250622047,0.6201132921428055,0.7933200123631775,7
0.5,0.1,1,0.0,1.0,0.0,0.299281250622047,0.6201132921428055,0.7933200123631775,7
0.5,0.1,1,0.2,0.0,0.8,0.4170530501556103,0.8490181493127313,1.1456156985643888,10
0.5,0.1,1,0.2,0.2,0.6,0.45212132983094044,0.7421714885227553,1.092929557009214,9
0.5,0.1,1,0.2,0.4,0.4,0.38118261991382696,0.718439051863414,0.9901096095836276,10
0.5,0.1,1,0.2,0.6,0.2,0.38915572892567885,0.7350319183305579,0.9082899477855303,10
0.5,0.1,1,0.2,0.8,0.0,0.4943874809991304,0.9263712525975647,1.180030561307401,10
0.5,0.1,1,0.4,0.0,0.6,0.29275223369180575,0.605948717304287,0.9703407204426048,9
0.5,0.1,1,0.4,0.2,0.4,0.41080769855179367,0.6169330910695399,0.9234126618399172,9
0.5,0.1,1,0.4,0.4,0.2,0.4035068073477051,0.7821979723864336,1.1244061000556862,9
0.5,0.1,1,0.4,0.6,0.0,0.45257605159756487,0.7908917761852933,0.9763934606431651,10
0.5,0.1,1,0.6,0.0,0.4,0.4874570532131805,0.8380762972141671,1.136480245856202,10
0.5,0.1,1,0.6,0.2,0.2,0.5259024615353542,0.7433503509667487,0.9856024226031482,9
0.5,0.1,1,0.6,0.4,0.0,0.4580560823220344,0.8634141099587063,1.0753654655050562,9
0.5,0.1,1,0.8,0.0,0.2,0.45899043961595953,0.787310977369317,1.0391297020813905,10
0.5,0.1,1,0.8,0.2,0.0,0.4736245941169887,0.7755174488190264,0.985865746912896,9
0.5,0.1,1,1.0,0.0,0.0,0.5114945123796454,0.4683795968369314,0.6406749107844626,10
0.5,0.1,2,0.0,0.0,1.0,0.2599232482280194,0.714996305001538,0.7178877165136929,9
0.5,0.1,2,0.0,0.2,0.8,0.25392549600811865,0.6116535464703527,0.6889777750048417,9
0.5,0.1,2,0.0,0.4,0.6,0.15110482811336284,0.7350475212836706,0.766203604916605,10
0.5,0.1,2,0.0,0.6,0.4,0.2551349124123876,0.8532354301163297,0.7902837970852062,9
0.5,0.1,2,0.0,0.8,0.2,0.2551349124123876,0.8532354301163297,0.7902837970852062,9
0.5,0.1,2,0.0,1.0,0.0,0.2551349124123876,0.8532354301163297,0.7902837970852062,9
0.5,0.1,2,0.2,0.0,0.8,0.3333223918336424,1.0154023092133395,0.9250980782592612,9
0.5,0.1,2,0.2,0.2,0.6,0.3878786784269887,0.9473442857250766,0.8818880485332018,10
0.5,0.1,2,0.2,0.4,0.4,0.31115994110170664,1.0125103637116781,0.9458183867382105,10
0.5,0.1,2,0.2,0.6,0.2,0.32660643232322273,0.9325326391790841,0.8118807068857665,9
0.5,0.1,2,0.2,0.8,0.0,0.3640260004535172,1.1255845128232551,0.9795907118682162,10
0.5,0.1,2,0.4,0.0,0.6,0.2703102819290774,0.679687864238234,0.7580597593747838,8
0.5,0.1,2,0.4,0.2,0.4,0.5129552496436155,0.8266426034036933,0.777368287013325,10
0.5,0.1,2,0.4,0.4,0.2,0.33917531566195847,0.7837605360680947,0.7125441084939664,9
0.5,0.1,2,0.4,0.6,0.0,0.31113090239986424,0.9676948374999459,0.8196717614318708,9
0.5,0.1,2,0.6,0.0,0.4,0.4493161612717426,0.7048322133383567,0.7038740186480384,9
0.5,0.1,2,0.6,0.2,0.2,0.4750628932391934,0.8285468861340728,0.7854889004256269,10
0.5,0.1,2,0.6,0.4,0.0,0.47366303590548564,1.1098424857487115,0.9598776925876044,10
0.5,0.1,2,0.8,0.0,0.2,0.42363935743562114,0.5219138110109375,0.5323900021757737,10
0.5,0.1,2,0.8,0.2,0.0,0.451258507125629,0.7219051214867848,0.6977882656656788,9
0.5,0.1,2,1.0,0.0,0.0,0.4548620904781589,0.5390244333675962,0.5097011277673819,9
0.5,0.4,0,0.0,0.0,1.0,0.4747440123504088,0.8274209838003488,1.0,9
0.5,0.4,0,0.0,0.2,0.8,0.3467736407954251,0.9498940707895477,0.951099024045637,9
0.5,0.4,0,0.0,0.4,0.6,0.3467736407954251,0.9498940707895477,0.951099024045637,9
0.5,0.4,0,0.0,0.6,0.4,0.281895862479963,1.0010144232228786,1.0416150201783474,9
0.5,0.4,0,0.0,0.8,0.2,0.281895862479963,1.0010144232228786,1.0416150201783474,9
0.5,0.4,0,0.0,1.0,0.0,0.2806460746428916,1.0,0.8852478070367722,9
0.5,0.4,0,0.2,0.0,0.8,0.4832616940573024,0.9912165335663422,1.1720967584430302,9
0.5,0.4,0,0.2,0.2,0.6,0.5628498215294406,1.2223831672546914,1.2370813016991726,9
0.5,0.4,0,0.2,0.4,0.4,0.42755265430642303,1.2045583440357754,1.1957980834402537,9
0.5,0.4,0,0.2,0.6,0.2,0.45528859174283787,1.2557092832001964,1.1186519246687072,9
0.5,0.4,0,0.2,0.8,0.0,0.4021262864074038,1.2254180971536575,1.2563269620595305,10
0.5,0.4,0,0.4,0.0,0.6,0.41242681886856436,0.9717499356065101,0.9788348408406341,9
0.5,0.4,0,0.4,0.2,0.4,0.5679445093390598,1.3298719076916763,1.3917581862973631,9
0.5,0.4,0,0.4,0.4,0.2,0.49447011139579033,1.1593050194266514,1.268239276457447,9
0.5,0.4,0,0.4,0.6,0.0,0.49447011139579033,1.1593050194266514,1.268239276457447,9
0.5,0.4,0,0.6,0.0,0.4,0.4885023071502211,1.1710058700209416,1.1620440883096594,10
0.5,0.4,0,0.6,0.2,0.2,0.5369303746848587,1.2028244408491524,1.232243006377823,10
0.5,0.4,0,0.6,0.4,0.0,0.5601697316012987,0.9245100573046034,0.9690574035388076,7
0.5,0.4,0,0.8,0.0,0.2,0.6335641827811284,1.0786234867645175,1.185243032769924,9
0.5,0.4,0,0.8,0.2,0.0,0.5601697316012987,0.9245100573046034,0.9690574035388076,7
0.5,0.4,0,1.0,0.0,0.0,0.5981776305453073,0.6518685705997393,0.7112026787215,10
0.5,0.4,1,0.0,0.0,1.0,0.31634477207465606,0.8486860558952779,1.016099896458637,10
0.5,0.4,1,0.0,0.2,0.8,0.2652790038820562,0.7796834605081558,0.9964402269304383,9
0.5,0.4,1,0.0,0.4,0.6,0.2652790038820562,0.7796834605081558,0.9964402269304383,9
0.5,0.4,1,0.0,0.6,0.4,0.2652790038820562,0.7796834605081558,0.9964402269304383,9
0.5,0.4,1,0.0,0.8,0.2,0.2652790038820562,0.7796834605081558,0.9964402269304383,9
0.5,0.4,1,0.0,1.0,0.0,0.2652790038820562,0.7796834605081558,0.9964402269304383,9
0.5,0.4,1,0.2,0.0,0.8,0.3454803397601945,0.9538772970361263,1.0619717123613235,10
0.5,0.4,1,0.2,0.2,0.6,0.3644540712636515,1.0279616991049292,0.9411813970323305,9
0.5,0.4,1,0.2,0.4,0.4,0.3831302825726051,1.000960708102767,1.0131560165426354,10
0.5,0.4,1,0.2,0.6,0.2,0.3831302825726051,1.000960708102767,1.0131560165426354,10
0.5,0.4,1,0.2,0.8,0.0,0.3831302825726051,1.000960708102767,1.0131560165426354,10
0.5,0.4,1,0.4,0.0,0.6,0.3454803397601945,0.9538772970361263,1.0619717123613235,10
0.5,0.4,1,0.4,0.2,0.4,0.32534659655201414,1.0700053967642988,1.1787505907176483,10
0.5,0.4,1,0.4,0.4,0.2,0.32534659655201414,1.0700053967642988,1.1787505907176483,10
0.5,0.4,1,0.4,0.6,0.0,0.37897065213361375,1.0011896634243376,1.0133868217112219,10
0.5,0.4,1,0.6,0.0,0.4,0.48552778133603786,0.8947045662955464,1.0376899550663916,10
0.5,0.4,1,0.6,0.2,0.2,0.4099041059573071,0.6671748183000389,0.8221319563126793,9
0.5,0.4,1,0.6,0.4,0.0,0.4688388721775539,0.9636675004418617,0.9018234649508768,8
0.5,0.4,1,0.8,0.0,0.2,0.42289665176048163,0.8886237346807245,0.9397658875128542,10
0.5,0.4,1,0.8,0.2,0.0,0.5006046086717254,1.0436064679239092,1.0591541474446653,10
0.5,0.4,1,1.0,0.0,0.0,0.4701935411089419,0.5342836625475877,0.5604303365059455,9
0.5,0.4,2,0.0,0.0,1.0,0.18301838131960957,0.2829644006095596,0.6918021138162778,7
0.5,0.4,2,0.0,0.2,0.8,0.2752581582066153,0.46865922036393254,0.7400270910322523,9
0.5,0.4,2,0.0,0.4,0.6,0.2752581582066153,0.46865922036393254,0.7400270910322523,9
0.5,0.4,2,0.0,0.6,0.4,0.2752581582066153,0.46865922036393254,0.7400270910322523,9
0.5,0.4,2,0.0,0.8,0.2,0.2752581582066153,0.46865922036393254,0.7400270910322523,9
0.5,0.4,2,0.0,1.0,0.0,0.2752581582066153,0.46865922036393254,0.7400270910322523,9
0.5,0.4,2,0.2,0.0,0.8,0.28992540611921597,0.47710482641914975,0.8210978655184142,9
0.5,0.4,2,0.2,0.2,0.6,0.27073901953525664,0.6407052382492959,0.9795920625603216,8
0.5,0.4,2,0.2,0.4,0.4,0.35004299881302875,0.4785437195471094,0.8514334315668658,9
