slack,cap_sigma,stake,rule,seed,steer_app,steer_op,steer_sys
0.5,0.0,uniform,min,0,0.11712900182438396,0.5107083422105632,0.5107083422204457
0.5,0.0,uniform,min,1,0.19725889305259536,0.5027601752990498,0.5027601752627759
0.5,0.0,uniform,min,2,0.0,0.45785692418924484,0.4578569241743473
0.5,0.0,uniform,sum,0,0.22228516987365102,0.4713061173265122,0.4713061173265123
0.5,0.0,uniform,sum,1,0.3208408538749333,0.3010882222128135,0.3010882221806439
0.5,0.0,uniform,sum,2,0.0,0.25376158465362453,0.2537615846240322
0.5,0.0,pareto,min,0,0.0904347253898303,0.6680210632582071,0.5173817048266337
0.5,0.0,pareto,min,1,0.19725889305259536,0.5251530846614224,0.5027601752627759
0.5,0.0,pareto,min,2,0.0,0.4587996620227933,0.4578569241743473
0.5,0.0,pareto,sum,0,0.16870945163508985,0.4713061173265122,0.4713061173265122
0.5,0.0,pareto,sum,1,0.3324008529077294,0.4499941286606548,0.3010882221806439
0.5,0.0,pareto,sum,2,0.0,0.2733996196086772,0.2537615846240322
0.5,0.8,uniform,min,0,0.11712900182438396,0.8288314493434855,0.8288314493751866
0.5,0.8,uniform,min,1,0.16783468003287344,0.7009082914516707,0.7009082913209317
0.5,0.8,uniform,min,2,0.0,0.8228873499427164,0.822887349945321
0.5,0.8,uniform,sum,0,0.22228516987365102,0.846287686463475,0.8462876864634751
0.5,0.8,uniform,sum,1,0.316876073467383,0.6539685259018739,0.6539685258693544
0.5,0.8,uniform,sum,2,0.0,0.7949693959665683,0.7949693959701303
0.5,0.8,pareto,min,0,0.0904347253898303,0.8276842149109488,0.7807766098162078
0.5,0.8,pareto,min,1,0.16783468003287344,0.7559275918696828,0.7009082913209317
0.5,0.8,pareto,min,2,0.029390394972862333,0.8383379131476718,0.8353061041699299
0.5,0.8,pareto,sum,0,0.16870945163508985,0.8462876864634751,0.8462876864634751
0.5,0.8,pareto,sum,1,0.3348968095433286,0.7143939385800142,0.6539685258693544
0.5,0.8,pareto,sum,2,0.25,0.7811104279296996,0.7818228898452566
4.0,0.0,uniform,min,0,0.0,0.5173817055000967,0.5173817048266338
4.0,0.0,uniform,min,1,0.0,0.46623965150097746,0.4662396503338251
4.0,0.0,uniform,min,2,0.0,0.5293779288312748,0.5293779288249858
4.0,0.0,uniform,sum,0,0.0,0.5173817055000967,0.5173817048266338
4.0,0.0,uniform,sum,1,0.0,0.46623965150097746,0.4662396503338251
4.0,0.0,uniform,sum,2,0.0,0.5293779288312748,0.5293779288249858
4.0,0.0,pareto,min,0,0.0,0.616701694531749,0.4713061173265122
4.0,0.0,pareto,min,1,0.0,0.8757651897806413,0.4662396503338251
4.0,0.0,pareto,min,2,0.0,0.2733996196086772,0.2537615846240322
4.0,0.0,pareto,sum,0,0.0,0.4713061173265122,0.4713061173265122
4.0,0.0,pareto,sum,1,0.0,0.8757651897806413,0.4662396503338251
4.0,0.0,pareto,sum,2,0.0,0.2733996196086772,0.2537615846240322
4.0,0.8,uniform,min,0,0.0,0.765567505698393,0.7655675054171391
4.0,0.8,uniform,min,1,0.0,0.6674480187959234,0.6674480181983038
4.0,0.8,uniform,min,2,0.0,0.8326706214322697,0.8326706214325352
4.0,0.8,uniform,sum,0,0.0,0.765567505698393,0.7655675054171391
4.0,0.8,uniform,sum,1,0.0,0.6674480187959234,0.6674480181983038
4.0,0.8,uniform,sum,2,0.0,0.8326706214322697,0.8326706214325352
4.0,0.8,pareto,min,0,0.27696961699740663,0.8193878032153573,0.7961611755428706
4.0,0.8,pareto,min,1,0.0,0.9144555677068682,0.6674480181983038
4.0,0.8,pareto,min,2,0.25,0.7823027692669177,0.7818228898452566
4.0,0.8,pareto,sum,0,0.25,0.6693094266725127,0.6693094266725128
4.0,0.8,pareto,sum,1,0.0,0.9144555677068682,0.6674480181983038
4.0,0.8,pareto,sum,2,0.25,0.7823027692669177,0.7818228898452566
