seed,scale,objective,mean_app_util,mean_op_util,sys_util,n_chains
0,0.25,0.7632641542834713,18.799049014133963,9.268005630231245,2242.7116607363732,8
0,0.5,0.5295300856578153,19.121110585800032,10.457933506216266,2347.5847189972733,9
0,0.8,0.4057289095656458,17.520375171095434,7.769874524816724,2094.187107615056,8
0,1.0,0.36424853694525605,20.317797344225294,7.963631891171631,1889.5409255671927,8
0,1.25,0.34134767907828967,20.317797344225294,7.963631891171631,1889.5409255671927,8
0,2.0,0.30720767312185093,20.411248354278687,7.659123447997798,1831.204426517432,7
0,4.0,0.28612975089420545,17.991362427038844,8.432577334289256,1951.9445922605134,8
1,0.25,0.5512396402550573,13.518712644741587,6.792329053030034,1370.666862001312,9
1,0.5,0.37599150761391986,14.185597699131305,6.772723112137127,1267.2122585129705,9
1,0.8,0.3061126333711556,13.061494473920323,6.610399395902045,1556.6715142246392,7
1,1.0,0.30012260124869106,13.075257698042515,6.376216042635621,1339.8233919482632,7
1,1.25,0.283640664939364,13.075257698042515,6.376216042635621,1339.8233919482632,7
1,2.0,0.24515125827389594,12.504939314036648,5.978699121574454,1283.1247866888807,7
1,4.0,0.24436537421529353,13.79421442912955,6.2138159909751165,1280.9760713327032,9
2,0.25,0.4921706630179113,10.463291991184697,8.114070828677267,1359.0352373595456,9
2,0.5,0.3685863916908171,13.371462509971249,6.7184475507746315,1444.3545983075728,8
2,0.8,0.29480145152332865,12.774551481439298,6.500737335367201,1366.2222617816492,9
2,1.0,0.27379106791629026,12.774551481439298,6.500737335367201,1366.2222617816492,9
2,1.25,0.25698276103065953,12.774551481439298,6.500737335367201,1366.2222617816492,9
2,2.0,0.24789481259373053,10.989743015726756,6.686424538947991,1283.995610981316,9
2,4.0,0.22920120838302208,9.769805303933037,4.390559868680707,895.6665591224951,9
3,0.25,0.26842816675836156,9.93302736393036,3.740613512731725,989.4819023319608,8
3,0.5,0.21782265919849947,9.759923825906329,7.317294411067184,1720.3655032745537,7
3,0.8,0.18733362929601635,8.3229827250242,2.0172461708012657,632.3644933010311,7
3,1.0,0.18468001515732227,8.3229827250242,2.0172461708012657,632.3644933010311,7
3,1.25,0.182557123846367,8.3229827250242,2.0172461708012657,632.3644933010311,7
3,2.0,0.18019372228212047,8.106376047459921,6.488796936604578,1278.2010257564818,9
3,4.0,0.21955264136199062,11.246079451713147,3.279557699108866,936.3704604561044,8
4,0.25,0.6812315067057257,21.422880269619284,23.19664044032696,3765.4661780702127,9
4,0.5,0.4078777001473235,21.103733313813592,22.794733736556367,3667.2470387126236,10
4,0.8,0.31634927456444106,21.103733313813592,22.794733736556367,3667.2470387126236,10
4,1.0,0.2858397993701469,21.103733313813592,22.794733736556367,3667.2470387126236,10
4,1.25,0.30231799950714766,20.595754993414875,22.172389895391973,3577.299986274916,10
4,2.0,0.2666107307338384,20.595754993414875,22.172389895391973,3577.299986274916,10
4,4.0,0.23002764631835368,20.876203432247653,22.01887290208893,3464.3513012534613,8
5,0.25,0.7131481978977501,15.57202392882855,6.052662907575516,1621.9479780099414,9
5,0.5,0.46393143577184764,15.624154961679393,6.5307818054620626,1625.9692620292435,8
5,0.8,0.35040093374717385,13.027630062863386,5.4900162657139475,1184.9689189837745,8
5,1.0,0.36067488779274226,15.527126497560785,6.273938426362009,1379.7246883887155,8
5,1.25,0.3209237360550367,13.246807882016338,4.452672411008761,898.0184795222766,9
5,2.0,0.29933403028354955,13.246807882016338,4.452672411008761,898.0184795222766,9
5,4.0,0.2664556474253378,11.471190058082723,4.324895195223683,818.8382028283688,10
6,0.25,0.6431426333101635,24.404859043020444,14.534331307165262,2946.9585093243213,10
6,0.5,0.39765456281307987,24.80256387649552,13.053668903920366,2542.613074490644,8
6,0.8,0.3132180517830331,23.37385910968656,14.808267192176023,2778.1392145223144,9
6,1.0,0.2582245293619661,18.92620213500337,10.81931382753006,2064.925641479201,9
6,1.25,0.26925082142772183,23.301038048168824,14.443374618222364,2928.2315102781836,9
6,2.0,0.2424811037310386,19.70505332994365,10.43385046252666,2013.7052825673122,9
6,4.0,0.2623357047097264,30.57361017959318,16.69545563370229,3149.5502313092284,10
7,0.25,0.7332833431192194,12.529653473089912,5.3062726736505095,1190.8488635003957,7
7,0.5,0.45246654242101897,12.529653473089912,5.3062726736505095,1190.8488635003957,7
7,0.8,0.32654417370216315,10.982501615790076,4.84907205499877,963.2792757263452,7
7,1.0,0.29799095194833375,10.982501615790076,4.84907205499877,963.2792757263452,7
