axis,level,slack,cap_sigma,seed,steer_napp,steer_nop,steer_nsys,edge_napp,edge_nsys,app_not_full_frac,app_unserved_mean,full_service_feasible,manip_app_gas_frac,manip_app_gas_rel,manip_app_gas_dem,manip_op_gasprice_frac,manip_op_gasprice_rel,manip_op_stake_frac,manip_op_stake_rel,manip_op_gas_frac,manip_op_gas_rel
cap,0.4,1.0,0.4,2,0.25,0.5141480138157262,0.5138037905123566,0.25,0.5138037905123566,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,3.3179937393508268,0.6666666666666666,0.6190164552417088,0.0,0.0
cap,0.4,1.0,0.4,3,0.0,0.0,0.0,0.0,0.0,1.0,0.9295071094157972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cap,0.4,1.0,0.4,4,0.5971854252910633,0.7786132602835728,0.7107601022077747,0.5971854252910633,0.7107601022077747,1.0,0.4713738135144018,0.0,0.5,0.2762828598653429,0.1174982520299525,0.3333333333333333,0.1828679659616282,0.0,8.827752269558156e-17,0.0,0.0
cap,0.4,1.0,0.4,5,0.0,0.2848114341898713,0.1697061800376167,0.0,0.1697061800376167,0.0,2.775557561562892e-17,1.0,0.0,2.834319843926397e-17,2.834319843926396e-17,0.0,0.0,0.3333333333333333,0.6577859414255608,0.0,0.0
cap,0.4,1.0,0.4,6,0.3831590484400605,0.2526330315959404,0.2535415263124548,0.3831590484400605,0.2535415263124548,0.75,0.6915795242200302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cap,0.4,1.0,0.4,7,0.0,0.3668857026754084,0.0550814941862413,0.0,0.0550814941862413,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
cap,0.4,1.0,0.4,8,0.0,0.8568661399088874,0.4383651245465797,0.0,0.4383651245465797,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,8.458614318087665e-17,0.0,0.0
cap,0.4,1.0,0.4,9,0.0,0.1987053269553108,0.2372409453091292,0.0,0.2372409453091292,0.25,0.25,0.0,0.0,0.0,0.0,0.3333333333333333,0.4224780716662092,0.6666666666666666,1.6434114828600703,0.0,0.0
cap,0.6,1.0,0.6,0,0.0,0.0,0.0,0.0,0.0,1.0,0.6808694507796607,0.0,0.25,0.0534862851201667,0.0241588123130072,0.0,0.0,0.3333333333333333,2.7435054978949496,0.0,0.0
cap,0.6,1.0,0.6,1,0.0,0.2418492604149587,0.166046215813466,0.0,0.166046215813466,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.34245769965766,0.0,0.0,0.0,0.0
cap,0.6,1.0,0.6,2,0.25,0.508694191919496,0.4979208703893534,0.25,0.4979208703893534,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,4.481541637958147,0.6666666666666666,1.0493725017976017,0.6666666666666666,0.7104355872504299
cap,0.6,1.0,0.6,3,0.0,0.0,0.0,0.0,0.0,1.0,0.9295071094157972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cap,0.6,1.0,0.6,4,0.5971854252910633,0.8111515043492368,0.7325756595102726,0.5971854252910633,0.7325756595102726,1.0,0.4713738135144018,0.0,0.5,0.3383827967859774,0.1439082654593095,0.3333333333333333,0.204204279297692,0.0,1.0000080813383207e-16,0.0,0.0
cap,0.6,1.0,0.6,5,0.0,0.1446302264551366,0.1907068065085466,0.0,0.1907068065085466,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
cap,0.6,1.0,0.6,6,0.3831590484400605,0.2581979281557792,0.2591007291287087,0.3831590484400605,0.2591007291287087,0.75,0.6915795242200302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.168821207059868e-17,0.0,0.0
cap,0.6,1.0,0.6,7,0.0,0.0914347759770038,0.1090266861035156,0.0,0.1090266861035156,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.1799517945412358,0.0,0.0
cap,0.6,1.0,0.6,8,0.0,0.883849635706432,0.533839440671829,0.0,0.533839440671829,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
cap,0.6,1.0,0.6,9,0.0,0.3087172185087944,0.3309018822058519,0.0,0.3309018822058519,0.25,0.25,0.0,0.0,0.0,0.0,0.3333333333333333,0.8050096355573725,0.6666666666666666,1.1084010867288137,0.0,0.0
cap,0.8,1.0,0.8,0,0.0,0.0,0.0,0.0,0.0,1.0,0.6808694507796607,0.0,0.25,0.0534862851201667,0.0241588123130072,0.0,0.0,0.3333333333333333,3.805660751701456,0.0,0.0
cap,0.8,1.0,0.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.5684242468841497,0.0,4.48784960601663e-17,0.0,0.0
cap,0.8,1.0,0.8,2,0.25,0.6241331594211529,0.6144277736372457,0.25,0.6144277736372457,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,4.207995595689607,0.6666666666666666,7.208188523929052,0.6666666666666666,1.180954983025471
cap,0.8,1.0,0.8,3,0.0,0.0,0.0,0.0,0.0,1.0,0.9295071094157972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cap,0.8,1.0,0.8,4,0.4322283290438006,0.0172474591836295,0.0674142630054817,0.4322283290438006,0.0674142630054817,1.0,0.4713738135144018,0.0,0.5,0.3383827967859774,0.1439082654593095,0.3333333333333333,0.2262072489852999,0.0,5.664047495931839e-17,0.0,0.0
cap,0.8,1.0,0.8,5,0.0,0.3570252540784168,0.2634796689057805,0.0,0.2634796689057805,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
cap,0.8,1.0,0.8,6,0.3831590484400605,0.2633619068311418,0.2642562695626793,0.3831590484400605,0.2642562695626793,0.75,0.6915795242200302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.80757940908759e-17,0.0,0.0
cap,0.8,1.0,0.8,7,0.0,0.0714066846222083,0.2274181896559135,0.0,0.2274181896559135,0.25,0.0105508817015033,0.0,0.0,0.0,0.0,0.3333333333333333,0.1456250996401334,0.0,3.768265434033565e-17,0.0,0.0
cap,0.8,1.0,0.8,8,0.0,0.088916219670145,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.1833002794955392e-16,0.0,0.0
cap,0.8,1.0,0.8,9,0.0,0.3843019634501786,0.4186598268162637,0.0,0.4186598268162637,0.25,0.25,0.0,0.0,0.0,0.0,0.3333333333333333,0.6681217549082556,1.0,1.7327271326571234,0.0,0.0
cap,1.0,1.0,1.0,0,0.2166215343195149,0.6004959813208379,0.0095986042397242,0.2166215343195149,0.0095986042397242,1.0,0.6808694507796607,0.0,0.25,0.0534862851201667,0.0241588123130072,0.0,0.0,0.3333333333333333,5.23448252431889,0.0,0.0
cap,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cap,1.0,1.0,1.0,2,0.25,0.7070757853626305,0.6983647043892123,0.25,0.6983647043892123,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,6.616901212881184,0.6666666666666666,11.378950100072094,0.6666666666666666,1.812238404253803
cap,1.0,1.0,1.0,3,0.0,0.0,0.0,0.0,0.0,1.0,0.9295071094157972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cap,1.0,1.0,1.0,4,0.4322283290438006,0.021278645718415,0.0810120807477762,0.4322283290438006,0.0810120807477762,1.0,0.4713738135144018,0.0,0.5,0.3383827967859774,0.1439082654593095,0.3333333333333333,0.2488977048034337,0.0,6.416234955468924e-17,0.0,0.0
cap,1.0,1.0,1.0,5,0.0,0.3313949249584883,0.372707828343895,0.0,0.372707828343895,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
cap,1.0,1.0,1.0,6,0.3831590484400605,0.2680773574048886,0.2689605436248684,0.3831590484400605,0.2689605436248684,0.75,0.6915795242200302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.558302348461427e-17,0.0,0.0
cap,1.0,1.0,1.0,7,0.2420024576001085,0.1643933221245131,0.3305577482202755,0.0,0.3305577482202755,0.25,0.0105508817015033,0.0,0.0,0.0,0.0,0.6666666666666666,0.4546084122928628,0.3333333333333333,0.0243859696575325,0.6666666666666666,0.4546084122928628
cap,1.0,1.0,1.0,8,0.0,0.0889162196701452,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.9792827372893123e-16,0.0,0.0
cap,1.0,1.0,1.0,9,0.0,0.4673467152568918,0.4999087862832673,0.0,0.4999087862832673,0.25,0.25,0.0,0.0,0.0,0.0,0.3333333333333333,0.8194309066064996,0.6666666666666666,1.3959176793216703,0.3333333333333333,0.089008120864125
slack,0.25,0.25,0.8,0,0.3786912914123339,0.1925249578875324,0.5033280261638671,0.0,0.0,1.0,0.8715893786738584,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.90437804397488e-16,0.0,0.0
slack,0.25,0.25,0.8,1,0.4759625733243627,0.5324954795061023,0.2892855708503071,0.0742279180718012,0.2892855708503071,0.75,0.6029969083566169,0.0,0.25,0.0,0.059704314241312,0.3333333333333333,0.8717729545373473,0.3333333333333333,0.6295653508397373,0.0,0.0
slack,0.25,0.25,0.8,2,0.0,0.0,0.0,0.0,0.0,0.75,0.3273632590963386,0.0,0.0,0.0,0.0,0.3333333333333333,2.9693868904744747,0.0,0.0,0.0,0.0
slack,0.25,0.25,0.8,3,0.0,0.0,0.0,0.0,0.0,1.0,0.9823767773539492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slack,0.25,0.25,0.8,4,0.2663083037469319,0.0016709245764603,0.0070798379259239,0.2663083037469319,0.0070798379259239,1.0,0.8065053251000412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slack,0.25,0.25,0.8,5,0.2972415940148566,0.3342411547185064,0.3217207731519718,0.260488326733764,0.3217207731519718,0.75,0.3865325392176749,0.0,0.5,0.1882068004085134,0.1945682676575728,0.3333333333333333,0.4358635961746258,0.6666666666666666,0.9887308913304036,0.0,0.0
slack,0.25,0.25,0.8,6,0.4709088390863521,0.138877080221167,0.1393996117852569,0.4709088390863521,0.1393996117852569,1.0,0.9050990101266864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slack,0.25,0.25,0.8,7,0.0525080220085972,0.0599506452414997,0.0217093179739144,0.0,0.0,0.75,0.4262552848939057,0.0,0.5,0.3521443671026429,0.1450161791529645,0.6666666666666666,0.8337925629318789,0.3333333333333333,0.7389066882083588,0.3333333333333333,0.0523886768358922
slack,0.25,0.25,0.8,8,0.0,0.7753214001745753,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1833002794955392e-16,0.0,0.0
slack,0.25,0.25,0.8,9,0.1622941055627316,0.318276835731946,0.3548860720867245,0.1622941055627316,0.3548860720867245,0.5,0.3717205791720487,0.0,0.25,0.3162902212124908,0.1217205791720487,0.3333333333333333,0.2648225370768026,0.3333333333333333,0.0774940513604872,0.0,0.0
slack,0.5,0.5,0.8,0,0.3617389015593212,0.2139717165007563,0.4897763459553682,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
