cap_scale,price_sigma,seed,supply_demand_ratio,steer_app,steer_op,steer_sys,steer_structure
0.5,0.1,0,0.9558277379164785,0.2644019626303413,0.5413980389925777,0.5686053233369889,2
0.5,0.1,1,0.5392614070976649,0.26160034624301515,0.4579916557606333,0.5393556505229383,3
0.5,0.1,2,0.5227797952017683,0.36185042153025265,0.6036707018123176,0.46988958410083437,2
0.5,0.4,0,0.9558277379164785,0.35291810813823676,0.6780033370919369,0.6805555075758631,3
0.5,0.4,1,0.5392614070976649,0.23532560478966918,0.5357217342167111,0.6183202542117028,2
0.5,0.4,2,0.5227797952017683,0.25655915682798774,0.3911200767620702,0.5697465760891981,3
0.5,0.8,0,0.9558277379164785,0.2818580534406264,0.6248809396238184,0.6285065922869459,3
0.5,0.8,1,0.5392614070976649,0.20368880049474644,1.2676374782024973,0.9495321426132803,2
0.5,0.8,2,0.5227797952017683,0.27096202330139807,0.9023158191341726,0.7064338874587293,3
1.0,0.1,0,1.911655475832957,0.3114264165356563,0.6003895592772388,0.5195457356739063,4
1.0,0.1,1,1.07852281419533,0.38602238881642026,0.6007643059020884,0.6120099338908764,2
1.0,0.1,2,1.0455595904035366,0.3956821298333925,0.513974568518179,0.4852503129669123,3
1.0,0.4,0,1.911655475832957,0.29477314765966856,0.5243613699264671,0.4914373658609855,4
1.0,0.4,1,1.07852281419533,0.382207370957543,0.6757467450995576,0.6169917842724097,2
1.0,0.4,2,1.0455595904035366,0.3990501726912354,0.8442513567937473,0.5571339077292446,3
1.0,0.8,0,1.911655475832957,0.36509543632847685,0.6005562846145376,0.6160597130968659,2
1.0,0.8,1,1.07852281419533,0.4271073248259617,0.8359952356465217,0.7533969775288478,4
1.0,0.8,2,1.0455595904035366,0.22754703973631313,0.9567639334461782,1.09347985355366,3
2.0,0.1,0,3.8233109516659143,0.2503776390321437,0.6704888652404319,0.5344227483737023,3
2.0,0.1,1,2.15704562839066,0.2726282758225035,0.5889299968963987,0.48882146787447034,3
2.0,0.1,2,2.0911191808070733,0.2748461532670954,0.981092687251452,0.5643426104397747,2
2.0,0.4,0,3.8233109516659143,0.25210410239850245,0.5109388637894897,0.4500916167625859,3
2.0,0.4,1,2.15704562839066,0.20048034792816272,0.5695620162024169,0.45136114325779686,4
2.0,0.4,2,2.0911191808070733,0.34885056414245286,0.7020656851504556,0.5317698762954111,3
2.0,0.8,0,3.8233109516659143,0.3301364468215718,0.561857192566772,0.6694657188696594,4
2.0,0.8,1,2.15704562839066,0.4226132862911027,0.6292811546219366,0.7170608182111535,4
2.0,0.8,2,2.0911191808070733,0.3141285814456204,0.6025313066944371,0.7876769434286285,3
4.0,0.1,0,7.64662190333183,0.20000000000000007,0.5399724779769023,0.3968657663327164,4
4.0,0.1,1,4.314091256781321,0.2103234126792548,0.5347543697217478,0.3357676409864493,4
4.0,0.1,2,4.1822383616141465,0.38717356050468965,1.023593548543757,0.4513250038149563,4
4.0,0.4,0,7.64662190333183,0.3079482777035242,0.45807020926561215,0.3623320404761452,3
4.0,0.4,1,4.314091256781321,0.25,0.5384156543660121,0.37324523278305555,2
4.0,0.4,2,4.1822383616141465,0.4483094718124657,0.7185110630126634,0.44092145619213363,3
4.0,0.8,0,7.64662190333183,0.35000000000000003,0.6873265972472822,0.5286405532834896,2
4.0,0.8,1,4.314091256781321,0.29999999999999993,0.787288480454843,0.584892178865893,4
4.0,0.8,2,4.1822383616141465,0.15000000000000002,0.8120780767228517,0.6221543695015476,2
