cap_scale,seed,op,slack,pivotality,true_util,max_price_gain
0.5,0,5,0.9558277379164785,0.0235007269646783,6.196849132966651,2.5379940757535895
0.5,0,9,0.9558277379164785,-0.07578844748186564,0.0,0.0
0.5,0,6,0.9558277379164785,0.027238243303080847,20.214112041414555,0.0
0.5,1,4,0.5392614070976649,-0.10113403972360144,11.735500188482382,0.42766962938450703
0.5,1,3,0.5392614070976649,-0.20385366558230256,2.0317485700057194,3.147806125429872
0.5,1,7,0.5392614070976649,0.09878365252847564,10.91544276181172,5.291705460709808
0.5,2,2,0.5227797952017683,0.09004980857521241,1.5174322126891884,0.7985510549987151
0.5,2,1,0.5227797952017683,0.216487332331735,2.9811259495372404,5.677712633700699
0.5,2,6,0.5227797952017683,0.05446011270354157,2.4390900332090473,0.8412621025680993
0.5,3,0,0.2538800403962951,0.3867420435917353,2.1827222625360765,0.0
0.5,3,1,0.2538800403962951,0.518416753216709,4.195349916929195,0.0
0.5,3,6,0.2538800403962951,0.2642079923421063,46.65597350346286,0.0
1.0,0,5,1.911655475832957,0.03218875903872386,5.793149569395387,22.243548411119995
1.0,0,9,1.911655475832957,0.11851340139229097,3.173671521435574,0.0
1.0,0,6,1.911655475832957,0.022854348391338992,24.382805374088775,0.0
1.0,1,4,1.07852281419533,0.02764710325981242,14.84570349873537,4.7440465979177
1.0,1,3,1.07852281419533,-0.06638348923530533,2.4516873129758054,5.400991759928726
1.0,1,7,1.07852281419533,-0.024066538103382596,8.64016861287759,0.0
1.0,2,2,1.0455595904035366,-0.045337855967472834,1.6974487397660147,4.242504414493764
1.0,2,1,1.0455595904035366,-0.32209034272512016,17.31767716647588,0.0
1.0,2,6,1.0455595904035366,-0.1445285329442356,10.205276299586501,0.0
1.0,3,0,0.5077600807925902,-0.1323023128106008,0.0,0.0
1.0,3,1,0.5077600807925902,-0.7602122427115807,6.466705796430337,10.74575842368738
1.0,3,6,0.5077600807925902,-0.23010891091101926,93.31194700692569,0.0
2.0,0,5,3.8233109516659143,-0.004423630973017949,17.398816461765314,3.4578946598858025
2.0,0,9,3.8233109516659143,-0.07661522281460567,5.963110062627847,0.0
2.0,0,6,3.8233109516659143,-0.018437027653291502,17.631357088959472,16.763226440344166
2.0,1,4,2.15704562839066,0.06862081608736759,24.292125094333187,0.0
2.0,1,3,2.15704562839066,-0.24288062393503154,0.0,7.306673175804599
2.0,1,7,2.15704562839066,0.12450375219473325,10.341920564470419,0.0
2.0,2,2,2.0911191808070733,0.07477409653108928,4.53436218187043,0.0
2.0,2,1,2.0911191808070733,-0.11671071756156526,34.63535433295175,0.0
2.0,2,6,2.0911191808070733,-0.017875724493757846,3.8938255027587543,1.89053397044343
2.0,3,0,1.0155201615851803,-0.4565623767433165,0.0,0.0
2.0,3,1,1.0155201615851803,0.3560873764240785,34.42492844023544,21.333072321344197
2.0,3,6,1.0155201615851803,0.22914768568804952,186.62389401385138,0.0
