seed,role,agent,coord,true_util_exact,max_gain_exact,rel_gain_exact,true_util_ls,max_gain_ls,rel_gain_ls
0,app,0,gas,0.0,0.0,,0.0,0.0,
0,app,0,gasprice,0.0,0.0,,0.0,0.0,
0,app,1,gas,0.0,0.0,,0.0,0.0,
0,app,1,gasprice,0.0,0.0,,0.0,0.0,
0,app,2,gas,0.0,0.0,,0.0,0.0,
0,app,2,gasprice,0.0,0.0,,0.0,0.0,
0,app,3,gas,22.306990778252302,0.0,0.0,22.306990778252302,0.0,0.0
0,app,3,gasprice,22.306990778252302,0.0,0.0,22.306990778252302,0.0,0.0
0,op,0,gas,0.0,13.698887117543634,,0.0,13.698887117543634,
0,op,0,gasprice,0.0,0.0,,0.0,0.0,
0,op,1,gas,6.216719865925875,0.0,0.0,6.216719865925875,0.0,0.0
0,op,1,gasprice,6.216719865925875,0.0,0.0,6.216719865925875,0.0,0.0
0,op,2,gas,0.0,16.401714813021872,,0.0,16.401714813021872,
0,op,2,gasprice,0.0,0.0,,0.0,0.0,
1,app,0,gas,28.377148530307164,0.0,0.0,28.377148530307164,0.0,0.0
1,app,0,gasprice,28.377148530307164,0.0,0.0,28.377148530307164,0.0,0.0
1,app,1,gas,30.290578706868065,0.0,0.0,30.290578706868065,0.0,0.0
1,app,1,gasprice,30.290578706868065,0.0,0.0,30.290578706868065,0.0,0.0
1,app,2,gas,27.950555555995955,0.0,0.0,27.950555555995955,0.0,0.0
1,app,2,gasprice,27.950555555995955,0.0,0.0,27.950555555995955,0.0,0.0
1,app,3,gas,5.456692125790441,0.0,0.0,5.456692125790441,0.0,0.0
1,app,3,gasprice,5.456692125790441,0.0,0.0,5.456692125790441,0.0,0.0
1,op,0,gas,17.0215834468689,8.646891069336597,0.5079956924293775,17.0215834468689,8.646891069336597,0.5079956924293775
1,op,0,gasprice,17.0215834468689,0.0,0.0,17.0215834468689,0.0,0.0
1,op,1,gas,14.283349951648557,21.50201113586152,1.5053899266383093,14.283349951648557,21.50201113586152,1.5053899266383093
1,op,1,gasprice,14.283349951648557,0.0,0.0,14.283349951648557,0.0,0.0
1,op,2,gas,2.4378330413912246,7.248178930068219,2.973205632626844,2.4378330413912246,7.248178930068219,2.973205632626844
1,op,2,gasprice,2.4378330413912246,0.6982913819275884,0.2864393787726689,2.4378330413912246,0.6982913819275884,0.2864393787726689
2,app,0,gas,24.265446454297752,0.0,0.0,24.265446454297752,0.0,0.0
2,app,0,gasprice,24.265446454297752,0.0,0.0,24.265446454297752,0.0,0.0
2,app,1,gas,11.90848961184024,0.0,0.0,11.90848961184024,0.0,0.0
2,app,1,gasprice,11.90848961184024,0.0,0.0,11.90848961184024,0.0,0.0
2,app,2,gas,0.0,0.0,,0.0,0.0,
2,app,2,gasprice,0.0,0.0,,0.0,0.0,
2,app,3,gas,0.0,0.0,,0.0,0.0,
2,app,3,gasprice,0.0,1.7481054777238851,,0.0,1.7481054777238851,
2,op,0,gas,11.574760904416468,0.0,0.0,11.574760904416468,0.0,0.0
2,op,0,gasprice,11.574760904416468,0.0,0.0,11.574760904416468,0.0,0.0
2,op,1,gas,0.0,0.0,,0.0,0.0,
2,op,1,gasprice,0.0,0.0,,0.0,0.0,
2,op,2,gas,11.574760904416468,0.0,0.0,11.574760904416468,0.0,0.0
2,op,2,gasprice,11.574760904416468,0.91986488818012,0.0794716103232107,11.574760904416468,0.91986488818012,0.0794716103232107
3,app,0,gas,31.99446512874357,0.0,0.0,31.99446512874357,0.0,0.0
3,app,0,gasprice,31.99446512874357,0.0,0.0,31.99446512874357,0.0,0.0
3,app,1,gas,0.0,0.0,,0.0,0.0,
3,app,1,gasprice,0.0,1.5594527659868662,,0.0,1.5594527659868662,
3,app,2,gas,0.0,0.0,,0.0,0.0,
3,app,2,gasprice,0.0,30.51135308739773,,0.0,30.51135308739773,
3,app,3,gas,0.0,0.0,,0.0,0.0,
3,app,3,gasprice,0.0,0.0,,0.0,0.0,
3,op,0,gas,10.528877287331142,0.0,0.0,10.528877287331142,0.0,0.0
3,op,0,gasprice,10.528877287331142,0.0,0.0,10.528877287331142,0.0,0.0
3,op,1,gas,10.528877287331142,3.817950281774076,0.3626170367060902,10.528877287331142,3.817950281774076,0.3626170367060902
3,op,1,gasprice,10.528877287331142,0.0,0.0,10.528877287331142,0.0,0.0
3,op,2,gas,0.0,15.154205047854775,,0.0,15.154205047854775,
3,op,2,gasprice,0.0,0.0,,0.0,0.0,
4,app,0,gas,0.0,0.0,,0.0,0.0,
4,app,0,gasprice,0.0,10.466805279139653,,0.0,10.466805279139653,
4,app,1,gas,16.535451504175235,0.0,0.0,16.535451504175235,0.0,0.0
4,app,1,gasprice,16.535451504175235,0.0,0.0,16.535451504175235,0.0,0.0
4,app,2,gas,0.0,0.0,,0.0,0.0,
4,app,2,gasprice,0.0,70.33826868181008,,0.0,70.33826868181008,
4,app,3,gas,0.0,6.040416511890496,,0.0,6.040416511890496,
4,app,3,gasprice,0.0,38.828237394429486,,0.0,38.828237394429486,
4,op,0,gas,0.0,0.0,,0.0,0.0,
4,op,0,gasprice,0.0,18.200219481041056,,0.0,18.200219481041056,
4,op,1,gas,1.0462892948038227,0.0,0.0,1.0462892948038227,0.0,0.0
4,op,1,gasprice,1.0462892948038227,0.0,0.0,1.0462892948038227,0.0,0.0
4,op,2,gas,1.0462892948038227,2.4777743461576778,2.368154160099914,1.0462892948038227,2.4777743461576778,2.368154160099914
4,op,2,gasprice,1.0462892948038227,0.3826655902964031,0.3657359319232566,1.0462892948038227,0.3826655902964031,0.3657359319232566
5,app,0,gas,9.007599183087327,0.0,0.0,9.007599183087327,0.0,0.0
5,app,0,gasprice,9.007599183087327,0.0,0.0,9.007599183087327,0.0,0.0
5,app,1,gas,5.287194687802454,0.0550237493558158,0.0104069837796507,5.287194687802454,0.0550237493558158,0.0104069837796507
5,app,1,gasprice,5.287194687802454,0.0,0.0,5.287194687802454,0.0,0.0
5,app,2,gas,15.506901361783902,0.1613800709447286,0.0104069837796507,15.506901361783902,0.1613800709447286,0.0104069837796507
5,app,2,gasprice,15.506901361783902,0.0,0.0,15.506901361783902,0.0,0.0
5,app,3,gas,30.268029823288664,0.3149988954129519,0.0104069837796508,30.268029823288664,0.3149988954129519,0.0104069837796508
5,app,3,gasprice,30.268029823288664,0.3149988954129519,0.0104069837796508,30.268029823288664,0.0,0.0
5,op,0,gas,3.287302114014263,0.8782165540538993,0.2671541962358525,3.287302114014263,0.8782165540538993,0.2671541962358525
5,op,0,gasprice,3.287302114014263,0.8782165540538993,0.2671541962358525,3.287302114014263,0.8782165540538993,0.2671541962358525
5,op,1,gas,3.816613425902366,2.6526488825974743,0.6950268697884449,3.816613425902366,2.6526488825974743,0.6950268697884449
5,op,1,gasprice,3.816613425902366,0.0,0.0,3.816613425902366,0.0,0.0
5,op,2,gas,3.287302114014263,0.4058233464835914,0.1234517949395358,3.287302114014263,0.4058233464835914,0.1234517949395358
5,op,2,gasprice,3.287302114014263,0.0,0.0,3.287302114014263,0.0,0.0
6,app,0,gas,34.32396638894534,23.25260593553275,0.6774451901054674,34.32396638894534,23.25260593553275,0.6774451901054674
6,app,0,gasprice,34.32396638894534,23.25260593553275,0.6774451901054674,34.32396638894534,23.25260593553275,0.6774451901054674
6,app,1,gas,27.735046414621937,0.0,0.0,27.735046414621937,0.0,0.0
6,app,1,gasprice,27.735046414621937,0.0,0.0,27.735046414621937,0.0,0.0
6,app,2,gas,0.0,0.0,,0.0,0.0,
6,app,2,gasprice,0.0,1.563158043081742,,0.0,1.563158043081742,
6,app,3,gas,0.0,0.0,,0.0,0.0,
6,app,3,gasprice,0.0,0.0,,0.0,0.0,
6,op,0,gas,15.398081826935329,25.669272808040272,1.667043538055364,15.398081826935329,25.669272808040272,1.667043538055364
6,op,0,gasprice,15.398081826935329,0.0,0.0,15.398081826935329,0.0,0.0
6,op,1,gas,15.398081826935329,0.0,0.0,15.398081826935329,0.0,0.0
6,op,1,gasprice,15.398081826935329,0.0,0.0,15.398081826935329,0.0,0.0
6,op,2,gas,29.17431542865916,19.76399966176488,0.6774451901054676,29.17431542865916,19.76399966176488,0.6774451901054676
6,op,2,gasprice,29.17431542865916,0.0,0.0,29.17431542865916,0.0,0.0
7,app,0,gas,20.11026041759761,0.0,0.0,20.11026041759761,0.0,0.0
7,app,0,gasprice,20.11026041759761,0.0,0.0,20.11026041759761,0.0,0.0
7,app,1,gas,27.07864845642425,0.0,0.0,27.07864845642425,0.0,0.0
7,app,1,gasprice,27.07864845642425,0.0,0.0,27.07864845642425,0.0,0.0
7,app,2,gas,15.2695728339435,0.0,0.0,15.2695728339435,0.0,0.0
7,app,2,gasprice,15.2695728339435,0.0,0.0,15.2695728339435,0.0,0.0
7,app,3,gas,8.243361100038712,0.0,0.0,8.243361100038712,0.0,0.0
7,app,3,gasprice,8.243361100038712,0.0,0.0,8.243361100038712,0.0,0.0
7,op,0,gas,1.0305934754062802,0.0,0.0,1.0305934754062802,0.0,0.0
7,op,0,gasprice,1.0305934754062802,0.0,0.0,1.0305934754062802,0.0,0.0
