kind,setting,seed,op,baseline,value
lambda,equal,0,7,28.49337394016157,0.0
lambda,equal,0,6,6.945776996327169,10.515482910655077
lambda,equal,1,4,2.237642027660573,17.352108068992496
lambda,equal,1,5,2.237642027660573,2.768938913988008
lambda,equal,2,2,1.3311732799300129,2.1785075369205833
lambda,equal,2,7,0.0,0.0
lambda,equal,3,0,3.3506365901017157,0.0
lambda,equal,3,7,3.8185916772101467,25.885002550481477
lambda,equal,4,6,10.375148048728132,0.0
lambda,equal,4,9,7.554857225341079,101.98347463141766
lambda,equal,5,8,8.944254573073566,4.560745621370248
lambda,equal,5,6,9.490708164975509,16.57599213600834
lambda,equal,6,4,2.3238692573456636,0.0
lambda,equal,6,5,28.345741014872424,0.0
lambda,equal,7,8,0.0,10.743313195135848
lambda,equal,7,6,5.650226539552461,4.293093446346409
lambda,app,0,7,9.814129871374142,0.0
lambda,app,0,6,7.095865616889683,13.476890266340774
lambda,app,1,4,8.22729922863002,6.223667850658712
lambda,app,1,5,2.5568315607141616,1.0969615851899728
lambda,app,2,2,1.699888754250725,1.130022087455314
lambda,app,2,7,0.0,0.0
lambda,app,3,0,0.457107195073977,6.138569707549566
lambda,app,3,7,3.338743314994195,14.127167128152445
lambda,app,4,6,4.246536309214342,5.342295459670643
lambda,app,4,9,20.234224899451547,0.0
lambda,app,5,8,6.0523921850876965,0.0
lambda,app,5,6,0.0,3.5291366253589356
lambda,app,6,4,1.2312966708915785,1.2312966708915785
lambda,app,6,5,13.59137822452089,15.423904897814465
lambda,app,7,8,3.8489325344882555,0.5217697612270285
lambda,app,7,6,8.033437215266433,0.0
lambda,sys,0,7,16.299004337092487,0.0
lambda,sys,0,6,8.380790547010255,0.0
lambda,sys,1,4,6.860395979465254,0.0
lambda,sys,1,5,6.860395979465254,0.0
lambda,sys,2,2,3.509680816850596,1.550600162482279
lambda,sys,2,7,0.0,0.0
lambda,sys,3,0,2.183063241356392,7.569819828729788
lambda,sys,3,7,29.703594227691624,0.0
lambda,sys,4,6,3.6108472018024553,4.963383603417908
lambda,sys,4,9,11.69582343142459,97.84250842533416
lambda,sys,5,8,15.078471685145526,0.0
lambda,sys,5,6,24.47755199831551,0.0
lambda,sys,6,4,2.3238692573456636,0.9821867330626652
lambda,sys,6,5,17.704868637413938,12.162210147548748
lambda,sys,7,8,1.6997035375391398,0.0
lambda,sys,7,6,1.6997035375391398,24.66212881852718
lambda,op,0,7,13.489252817179597,0.0
lambda,op,0,6,14.489651065142207,5.31103986121324
lambda,op,1,4,3.2350414938516034,3.6581546317691376
lambda,op,1,5,5.006580941648581,0.0
lambda,op,2,2,2.3797937356190357,0.0
lambda,op,2,7,0.0,1.0381009395010752
lambda,op,3,0,0.9126782566537357,14.019312517865519
lambda,op,3,7,3.889231241763907,25.814362985927715
lambda,op,4,6,6.45358381754612,0.0
lambda,op,4,9,6.065349708309565,103.47298214844918
lambda,op,5,8,9.648826837966222,0.0
lambda,op,5,6,15.496492237009413,8.981059761306096
lambda,op,6,4,0.0,3.254555129392553
lambda,op,6,5,0.0,29.867078784962686
lambda,op,7,8,0.8302492644616554,9.913063930674193
lambda,op,7,6,9.620080727087382,16.74175162897894
joint,1.0,0,-1,8.021950199161921,8.021950199161921
joint,1.5,0,-1,8.021950199161921,5.956357970892006
joint,2.0,0,-1,8.021950199161921,6.7649833984300285
joint,4.0,0,-1,8.021950199161921,4.413941258860075
joint,1.0,1,-1,6.535440098751519,6.535440098751519
joint,1.5,1,-1,6.535440098751519,7.282865705672963
joint,2.0,1,-1,6.535440098751519,5.210611307701041
joint,4.0,1,-1,6.535440098751519,4.115967687588379
joint,1.0,2,-1,8.283937062370246,8.283937062370246
joint,1.5,2,-1,8.283937062370246,12.634999771055877
joint,2.0,2,-1,8.283937062370246,8.059905949876178
joint,4.0,2,-1,8.283937062370246,0.6869282022671426
joint,1.0,3,-1,2.240895991460854,2.240895991460854
joint,1.5,3,-1,2.240895991460854,5.775531121476021
joint,2.0,3,-1,2.240895991460854,3.3882906497620184
joint,4.0,3,-1,2.240895991460854,2.9703594227691625
joint,1.0,4,-1,21.413538132846526,21.413538132846526
joint,1.5,4,-1,21.413538132846526,18.23137775407441
joint,2.0,4,-1,21.413538132846526,15.812559074025438
joint,4.0,4,-1,21.413538132846526,8.623817192828783
joint,1.0,5,-1,6.270145992246183,6.270145992246183
joint,1.5,5,-1,6.270145992246183,7.514538909612584
joint,2.0,5,-1,6.270145992246183,2.8138805882830846
joint,4.0,5,-1,6.270145992246183,2.711161892413865
joint,1.0,6,-1,16.151983107865586,16.151983107865586
joint,1.5,6,-1,16.151983107865586,13.28140728787871
joint,2.0,6,-1,16.151983107865586,11.406706499316355
joint,4.0,6,-1,16.151983107865586,0.9762485840482963
joint,1.0,7,-1,3.8728070468685116,3.8728070468685116
joint,1.5,7,-1,3.8728070468685116,4.195613128654116
joint,2.0,7,-1,3.8728070468685116,3.021200970717451
joint,4.0,7,-1,3.8728070468685116,1.3979044435932437
