slack,cap_sigma,stake,rule,weights,seed,outcome,rounds,n_deviators,truthful_app,final_app,truthful_op,final_op,truthful_sys,final_sys,apps_worse,ops_worse
0.5,0.8,pareto,min,uniform,3,fixed_point,1,0,5.449525408090613,5.449525408090613,3.847260400068397,3.847260400068397,139.96845839958564,139.96845839958564,0,0
0.5,0.8,pareto,min,uniform,4,fixed_point,1,0,11.773990786629277,11.773990786629277,6.991087897253455,6.991087897253455,305.5276622464834,305.5276622464834,0,0
1.0,0.8,pareto,min,uniform,0,fixed_point,3,3,7.162644385524128,5.5767476945630765,7.701169459271478,6.053337011007958,250.5638814407931,491.08636860429647,1,2
1.0,0.8,pareto,min,uniform,1,fixed_point,4,2,26.865614605810904,26.865614605810904,17.433073238812124,17.461014277644818,862.409525771239,867.3110923024801,0,0
1.0,0.8,pareto,min,uniform,2,fixed_point,3,3,12.802759825364852,9.043484016534498,19.199512157369966,20.96125441450614,633.5851717979543,668.969737625546,2,1
1.0,0.8,pareto,min,uniform,3,fixed_point,1,0,10.899050816181227,10.899050816181227,7.694520800136794,7.694520800136794,279.9369167991713,279.9369167991713,0,0
1.0,0.8,pareto,min,uniform,4,fixed_point,2,2,24.669113832315162,13.84092222465118,10.875889487897156,13.98217579450691,488.9766582016372,611.0553244929667,1,0
2.0,0.8,pareto,min,uniform,0,fixed_point,2,3,9.82636188344474,5.5767476945630765,8.960338405170363,7.985329037089877,303.04083221378784,245.54318430214823,1,2
2.0,0.8,pareto,min,uniform,1,fixed_point,3,2,26.865614605810904,26.865614605810904,17.751869458605242,17.751869458605242,862.409525771239,862.409525771239,0,0
2.0,0.8,pareto,min,uniform,2,fixed_point,3,3,12.802759825364852,9.043484016534498,19.199512157369966,20.96125441450614,633.5851717979543,668.969737625546,2,1
2.0,0.8,pareto,min,uniform,3,fixed_point,1,0,21.798101632362457,21.798101632362457,15.389041600273591,15.389041600273591,559.8738335983427,559.8738335983427,0,0
2.0,0.8,pareto,min,uniform,4,fixed_point,1,0,40.431038296684214,40.431038296684214,18.86629112484165,18.86629112484165,804.2328982562112,804.2328982562112,0,0
4.0,0.8,pareto,min,uniform,0,cycle,8,3,8.499228377763327,11.270877924196258,11.796105060509678,9.93534777325085,584.6623406264256,360.53848012542744,1,2
4.0,0.8,pareto,min,uniform,1,fixed_point,3,2,26.865614605810904,26.865614605810904,17.751869458605242,17.751869458605242,862.409525771239,862.409525771239,0,0
4.0,0.8,pareto,min,uniform,2,fixed_point,3,3,12.802759825364852,9.043484016534498,19.199512157369966,20.96125441450614,633.5851717979543,668.969737625546,2,1
4.0,0.8,pareto,min,uniform,3,fixed_point,3,2,38.65301424674326,38.65301424674326,27.288286578863534,30.778083200547183,992.784217242412,1119.7476671966854,0,0
4.0,0.8,pareto,min,uniform,4,fixed_point,1,0,40.431038296684214,40.431038296684214,18.86629112484165,18.86629112484165,804.2328982562112,804.2328982562112,0,0
8.0,0.8,pareto,min,uniform,0,max_rounds,8,3,15.103732609511301,5.5767476945630765,13.417286292815335,7.68218580540267,665.0145932553544,245.54318430214823,1,2
8.0,0.8,pareto,min,uniform,1,fixed_point,3,2,26.865614605810904,26.865614605810904,17.751869458605242,17.751869458605242,862.409525771239,862.409525771239,0,0
8.0,0.8,pareto,min,uniform,2,fixed_point,3,3,12.802759825364852,9.043484016534498,19.199512157369966,20.96125441450614,633.5851717979543,668.969737625546,2,1
8.0,0.8,pareto,min,uniform,3,cycle,4,3,38.65301424674326,38.65301424674326,33.05313006886797,31.11702861768498,992.784217242412,992.784217242412,0,1
8.0,0.8,pareto,min,uniform,4,fixed_point,3,2,40.431038296684214,40.431038296684214,18.86629112484165,18.866291124841652,804.2328982562112,804.2328982562112,0,0
