seed,role,agent,coord,true_util,max_gain,rel_gain
0,app,17,gas,12.321344684177339,2.3178111259929928,0.18811348804886927
0,app,17,gasprice,12.321344684177339,2.3178111259929928,0.18811348804886927
0,op,6,gas,5.547406809618757,19.33779468241065,3.485916094864445
0,op,6,gasprice,5.547406809618757,14.684389148457164,2.647072704852944
1,app,10,gas,19.11767749647655,1.5469256019562039,0.08091597958179321
1,app,10,gasprice,19.11767749647655,1.5469256019562039,0.08091597958179321
1,op,2,gas,4.116967323106458,6.388033702270288,1.5516357553817544
1,op,2,gasprice,4.116967323106458,8.657209776984063,2.102812361029809
2,app,6,gas,14.506214780196027,0.0,0.0
2,app,6,gasprice,14.506214780196027,0.0,0.0
2,op,0,gas,11.687583005046532,0.0,0.0
2,op,0,gasprice,11.687583005046532,13.808685546316768,1.1814834205116982
3,app,1,gas,0.0,0.0,
3,app,1,gasprice,0.0,1.5594527659868662,
3,op,0,gas,0.0,0.3371356735892223,
3,op,0,gasprice,0.0,0.8985762965495452,
4,app,3,gas,0.0,8.628331041979585,
4,app,3,gasprice,0.0,0.0,
4,op,8,gas,2.1014433409285154,2.366064162140286,1.1259233670772435
4,op,8,gasprice,2.1014433409285154,1.352003662828976,0.64336907709898
5,app,12,gas,7.703962405096273,0.0,0.0
5,app,12,gasprice,7.703962405096273,0.0,0.0
5,op,9,gas,5.592681013075346,3.0987420189224295,0.5540709387282701
5,op,9,gasprice,5.592681013075346,0.0,0.0
6,app,10,gas,0.0,0.0,
6,app,10,gasprice,0.0,24.016418186549284,
6,op,6,gas,1.0952706316299063,3.285811894889719,3.0
6,op,6,gasprice,1.0952706316299063,0.0,0.0
7,app,19,gas,2.670038607255564,2.861479280107681,1.071699589785667
7,app,19,gasprice,2.670038607255564,1.9322078996050545,0.723662906728941
7,op,7,gas,3.3413673488780713,0.11403774343021977,0.034129064997450866
7,op,7,gasprice,3.3413673488780713,9.251304408011471,2.7687181450186182
8,app,12,gas,37.291068356739935,0.0,0.0
8,app,12,gasprice,37.291068356739935,10.164505632109169,0.27257212195885105
8,op,5,gas,5.707232381272188,3.028517865032077,0.5306456199277794
8,op,5,gasprice,5.707232381272188,9.6193762349799,1.685471274403525
9,app,11,gas,82.30431068473553,0.0,0.0
9,app,11,gasprice,82.30431068473553,0.0,0.0
9,op,9,gas,0.0,58.04363663828559,
9,op,9,gasprice,0.0,11.926201057355456,
10,app,5,gas,0.0,0.0,
10,app,5,gasprice,0.0,18.32234568223161,
10,op,8,gas,6.68375274028115,0.0,0.0
10,op,8,gasprice,6.68375274028115,29.952508682690485,4.481390896191432
11,app,13,gas,0.0,0.0,
11,app,13,gasprice,0.0,17.521587042498,
11,op,0,gas,6.705460798714662,0.0,0.0
11,op,0,gasprice,6.705460798714662,0.0,0.0
12,app,7,gas,0.0,0.0,
12,app,7,gasprice,0.0,5.120945201741897,
12,op,8,gas,0.6337248995308387,4.706059778872538,7.426029468554169
12,op,8,gasprice,0.6337248995308387,8.39438675537654,13.246105307825369
13,app,11,gas,11.653458767842586,2.40410563551017,0.2062997504349727
13,app,11,gasprice,11.653458767842586,2.40410563551017,0.2062997504349727
13,op,0,gas,44.66305668808234,0.0,0.0
13,op,0,gasprice,44.66305668808234,0.0,0.0
14,app,15,gas,22.517538933540564,3.552713678800501e-15,1.5777539851429434e-16
14,app,15,gasprice,22.517538933540564,3.552713678800501e-15,1.5777539851429434e-16
14,op,7,gas,64.39915379975047,182.39081929006306,2.8321927933588746
14,op,7,gasprice,64.39915379975047,0.0,0.0
15,app,16,gas,34.22115486766556,0.0,0.0
15,app,16,gasprice,34.22115486766556,0.0,0.0
15,op,1,gas,2.7800001706113373,0.2540847736056002,0.09139739496840592
15,op,1,gasprice,2.7800001706113373,12.574914258117706,4.523350174957872
16,app,1,gas,22.846200428612462,0.0,0.0
16,app,1,gasprice,22.846200428612462,14.896175284033077,0.65201981093439
16,op,8,gas,10.342217448112525,23.79731551396691,2.300987736272164
16,op,8,gasprice,10.342217448112525,13.972616779791373,1.3510271709034123
17,app,0,gas,58.36329562851928,2.053216881544081,0.03517993388537804
17,app,0,gasprice,58.36329562851928,2.053216881544081,0.03517993388537804
17,op,5,gas,29.476717317755043,1.0369889663966028,0.03517993388537812
17,op,5,gasprice,29.476717317755043,0.0,0.0
18,app,1,gas,6.4876685449583436,0.0,0.0
18,app,1,gasprice,6.4876685449583436,0.0,0.0
18,op,2,gas,4.743669102691264,2.88538799967269,0.6082608076595604
18,op,2,gasprice,4.743669102691264,9.823039365553608,2.070768249830205
19,app,9,gas,0.0,31.158611256983264,
19,app,9,gasprice,0.0,31.158611256983264,
19,op,4,gas,0.0,9.940314126126637,
19,op,4,gasprice,0.0,0.0,
